URL,Category,Region,Desktop Exit Button?,Mobile Exit button?,Keyboard shortcut type,Shortcut keys,Mobile shortcut?,explainer text?,Safe browsing url,Comments
https://firststepleicester.org.uk/,Rape/SA,UK,Write+new tab,Write+new tab,,,,,,
http://www.kinergy.org.uk/,Rape/SA,UK,,,,,,,,
http://www.mending-uk.org/,Rape/SA,UK,,,,,,,,
https://the-green-house.org.uk/,Rape/SA,UK,,,,,,,,
https://operationemotion.co.uk/,Rape/SA,UK,,,,,,,,
https://www.thehavens.org.uk/,Rape/SA,UK,Redirect,Redirect,,,,,,
https://niaendingviolence.org.uk/,Rape/SA,UK,Redirect,Redirect,,,,,https://niaendingviolence.org.uk/browse-safely/,initially covered by cookie notice
https://survivorsgateway.london/,Rape/SA,UK,Redirect,Redirect,,,,,,
https://www.safetynetuk.org/,Rape/SA,UK,Redirect,Redirect,,,,,,
https://www.wgn.org.uk/,Rape/SA,UK,Redirect,Redirect,,,,,,
https://www.sexualviolence.ie/,Rape/SA,Ireland,Redirect,Redirect,,,,,https://www.sexualviolence.ie/safety-message,
https://galwayrcc.ie/,Rape/SA,Ireland,Redirect,Redirect,,,,,,
https://rapecrisis.ie/,Rape/SA,Ireland,,,,,,,,
https://www.womensaidni.org/,Rape/SA,Ireland,Redirect,,,,,,,
https://www.rapecrisishelp.ie/,Rape/SA,Ireland,,,,,,,,
https://trcc.ie/,Rape/SA,Ireland,Redirect,Redirect,,,,,https://www.wikihow.com/Delete-History-on-Your-Computer,
https://www.amrcc.ie/,Rape/SA,Ireland,,,,,,,,
https://www.wexfordrapecrisis.com/,Rape/SA,Ireland,,,,,,,,
https://www.oneinfour.ie/,Rape/SA,Ireland,,,,,,,,
https://www.srcc.ie/,Rape/SA,Ireland,,,,,,,,
https://www.rcni.ie/,Rape/SA,Ireland,,,,,,,,
https://www.donegalrapecrisis.ie/,Rape/SA,Ireland,Redirect,Redirect,,,,,,
https://www.krsac.com/,Rape/SA,Ireland,Redirect,Redirect,,,,,,self signed https cert
http://kasa.ie/,Rape/SA,Ireland,Redirect,Redirect,,,,,http://kasa.ie/hide-your-tracks/,
https://www.waterfordrsac.ie/,Rape/SA,Ireland,,,,,,,,
https://rcne.ie/,Rape/SA,Ireland,Redirect,,,,,,,
www.cari.ie,Rape/SA,Ireland,,,,,,,,
https://www.wellingtonhelp.org.nz/,Rape/SA,New Zealand,Redirect,Redirect,,,,,,
https://malesurvivor.nz/,Rape/SA,New Zealand,,,,,,,,
https://www.findsupport.co.nz/,Rape/SA,New Zealand,,,,,,,,
https://www.helpauckland.org.nz/,Rape/SA,New Zealand,Redirect,Redirect,,,,,,
https://www.safenetwork.org.nz/,Rape/SA,New Zealand,,,,,,,,
https://betterblokes.org.nz/,Rape/SA,New Zealand,,,,,,,,
https://www.d2l.org/,Rape/SA,USA,New tab,New tab,,,,,,
,Rape/SA,New Zealand,,,,,,,,
,Rape/SA,,,,,,,,,
,Rape/SA,,,,,,,,,
,Rape/SA,,,,,,,,,
,Rape/SA,,,,,,,,,
,Rape/SA,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
https://www.thetrevorproject.org/,LGTBQ+,USA,,,window.location writer,esc+esc+esc,window.location writer,On-load Pop-up,,No visible button but shortcut explained immediately on startup. also has mobile shortcut!
https://www.lgbt.foundation/,LGTBQ+,UK,Redirect,,,,,,,
https://thekitetrust.org.uk/,LGTBQ+,UK,Write+new tab,Redirect,,,,,,
https://genderedintelligence.co.uk/,LGTBQ+,UK,Redirect,Redirect,,,,,,
https://www.akt.org.uk/,LGTBQ+,UK,Redirect,Redirect,,,,,,
https://mermaidsuk.org.uk/#,LGTBQ+,UK,Redirect,,,,,,,
https://stonewallhousing.org/,LGTBQ+,UK,Redirect,,,,,,,stonewall doesn't have one but their housing site does?
https://mindout.org.uk/,LGTBQ+,UK,Redirect+new tab,Redirect+new tab,,,,,,
https://cara-friend.org.uk/,LGTBQ+,UK,Redirect,,,,,,,
https://www.intercomtrust.org.uk/,LGTBQ+,UK,Redirect,,,,,,,
https://www.theproudtrust.org/proud-connections/,LGTBQ+,UK,,,,,,,,
https://switchboard.lgbt/,LGTBQ+,UK,,,,,,,,
https://each.education/,LGTBQ+,UK,,,,,,,,
https://rainbowdorset.co.uk/,LGTBQ+,UK,,,,,,,,
http://www.ricochet-dorset.org/,LGTBQ+,UK,,,,,,,,
https://www.spaceyouthproject.co.uk/,LGTBQ+,UK,Redirect,,,,,,,
https://www.transunite.co.uk/,LGTBQ+,UK,,,,,,,,
https://www.consortium.lgbt/,LGTBQ+,UK,,,,,,,,
